,headword,xis_entry,instances_all
1086,damqu[good]AJ,akk.r0076b,"saao/sargonletters:P313854.11.1 (SIG₅),saao/sargonletters:P334049.26.2 (SIG₅),saao/sargonletters:P334298.28.4 (SIG₅),saao/sargonletters:P334388.16.4 (SIG₅),saao/sargonletters:P314084.5.7 (SIG₅-MEŠ),saao/sargonletters:P334077.39.1 (SIG₅-MEŠ),saao/sargonletters:P334158.20.2 (SIG₅-MEŠ),saao/sargonletters:P334200.29.2 (SIG₅-MEŠ),saao/sargonletters:P334200.37.4 (SIG₅-MEŠ),saao/sargonletters:P334332.11.2 (SIG₅-MEŠ),saao/sargonletters:P334332.31.2 (SIG₅-MEŠ),saao/sargonletters:P334336.7.3 (SIG₅-MEŠ),saao/sargonletters:P334444.9.1 (SIG₅-MEŠ),saao/sargonletters:P334555.40.2 (SIG₅-MEŠ),saao/sargonletters:P334535.23.2 (SIG₅-at),saao/sargonletters:P314088.8.1 (SIG₅-iq),saao/sargonletters:P314135.8.2 (SIG₅-iq),saao/sargonletters:P334688.19.5 (SIG₅-tu₂),saao/sargonletters:P334562.26.5 (da-an-qa),saao/sargonletters:P313510.75.12 (da-an-qu),saao/sargonletters:P313516.58.7 (da-an-qu),saao/sargonletters:P313616.21.3 (da-an-qu),saao/sargonletters:P334040.8.1 (dam-qa-at),saao/sargonletters:P313835.6.2 (dam-qu),saao/sargonletters:P334555.37.2 (dam-qu),saao/sargonletters:P334693.18.5 (dam-qu),saao/sargonletters:P334103.33.2 (de-e-qe),saao/sargonletters:P334830.40.2 (de-iq-ti),saao/sargonletters:P334100.13.2 ({LU₂}A-SIG),saao/sargonletters:P334100.22.2 ({LU₂}A-SIG),saao/sargonletters:P334193.11.3 ({LU₂}A-SIG-MEŠ),saao/sargonletters:P313866.7.1 ({LU₂}A-SIG-ia),saao/sargonletters:X900010.11.4 ({LU₂}A-SIG₅),saao/sargonletters:P334178.14.1 ({LU₂}A-SIG₅-MEŠ)"
1087,damāqu[be(come) good]V,akk.r00783,"saao/sargonletters:P313510.20.3 (da-mi₃-iq-qa),saao/sargonletters:P334298.18.2 (da-mu-qi),saao/sargonletters:P313924.6.3 (dam-mi₃-iq),saao/sargonletters:P334040.9.4 (dam-mu-qi),saao/sargonletters:P313892.18.5 (i-di-im-qi),saao/sargonletters:P334211.12.2 (i-di-mi-iq),saao/sargonletters:P313892.20.5 (i-di-mi₃-iq),saao/sargonletters:P334040.10.2 (u₂-da-mu-qu)"
1088,dannatu[fortified (place)]N,akk.r00790,"saao/sargonletters:P334610.11.3 ({E₂}KALAG-MEŠ-ma),saao/sargonletters:P334149.11.4 ({URU}dan-ni-te)"
1089,dannu[strong]AJ,akk.r00793,"saao/sargonletters:P334317.2.7 (E₂-dan-ni),saao/sargonletters:P313416.5.3 (KALAG),saao/sargonletters:P313439.7.3 (KALAG-MEŠ),saao/sargonletters:P313445.8.7 (KALAG-MEŠ),saao/sargonletters:P313451.9.3 (KALAG-MEŠ),saao/sargonletters:P313571.5.2 (KALAG-MEŠ),saao/sargonletters:P313858.10.5 (KALAG-MEŠ),saao/sargonletters:P334041.15.5 (KALAG-MEŠ),saao/sargonletters:P334155.21.8 (KALAG-MEŠ),saao/sargonletters:P334193.3.7 (KALAG-MEŠ),saao/sargonletters:P334314.16.4 (KALAG-MEŠ),saao/sargonletters:P334390.13.8 (KALAG-MEŠ),saao/sargonletters:P334496.24.2 (KALAG-MEŠ),saao/sargonletters:P334836.11.3 (KALAG-MEŠ),saao/sargonletters:P313782.4.1 (KALAG-MEŠ-te),saao/sargonletters:X900014.15.2 (KALAG-MEŠ-te),saao/sargonletters:P313448.27.3 (KALAG-an),saao/sargonletters:P334330.12.4 (KALAG-an),saao/sargonletters:P334369.33.2 (KALAG-an),saao/sargonletters:P334610.6.5 (KALAG-an),saao/sargonletters:P334332.11.1 (KALAG.GA-MEŠ),saao/sargonletters:P334178.13.1 (da-a-na),saao/sargonletters:P334359.16.1 (da-a-na),saao/sargonletters:P314041.7.6 (da-an),saao/sargonletters:P313439.9.5 (da-at-ti),saao/sargonletters:P334200.11.5 (da-ʾa-na),saao/sargonletters:P334288.12.2 (da-ʾa-tu₂),saao/sargonletters:P237089.13.3 (dan-na-at),saao/sargonletters:P313632.12.1 (dan-na-at),saao/sargonletters:P314232.4.2 (dan-na-at),saao/sargonletters:P314323.18.1 (dan-na-at),saao/sargonletters:P334152.35.2 (dan-na-at),saao/sargonletters:P334222.14.2 (dan-na-at),saao/sargonletters:P334347.10.4 (dan-na-at),saao/sargonletters:P334347.11.2 (dan-na-at),saao/sargonletters:P334689.20.4 (dan-na-at),saao/sargonletters:P334773.44.3 (dan-na-at),saao/sargonletters:P313494.11.3 (dan-na-te),saao/sargonletters:P314295.8.2 (dan-nat),saao/sargonletters:P314323.8.8 (dan-nat),saao/sargonletters:P334344.10.4 (dan-nat),saao/sargonletters:P334643.23.2 (dan-nat),saao/sargonletters:P334715.5.4 (dan-nat),saao/sargonletters:P334791.6.4 (dan-ni),saao/sargonletters:P313445.7.6 (dan-nu),saao/sargonletters:P313458.5.2 (dan-nu),saao/sargonletters:P313612.9.1 (dan-nu),saao/sargonletters:P334074.13.2 (dan-nu),saao/sargonletters:P334100.18.2 (dan-nu),saao/sargonletters:P334334.6.3 (dan-nu),saao/sargonletters:P334390.21.11 (dan-nu),saao/sargonletters:P334390.39.9 (dan-nu),saao/sargonletters:X900014.22.3 (dan-nu),saao/sargonletters:X900009.39.4 (dan-nu-te),saao/sargonletters:P334150.5.3 (dan-nu-ti)"
1090,dannunu[strengthened]AJ,akk.r007b6,saao/sargonletters:P334400.10.5 (da-nu-nu)
1091,danānu[be(come) strong]V,akk.r007b7,"saao/sargonletters:P313573.11.1 (i-da-ʾi-nu-ni),saao/sargonletters:P334060.33.1 (i-di-i-ni),saao/sargonletters:P334093.20.1 (i-di-in),saao/sargonletters:X900015.11.2 (i-di-in),saao/sargonletters:X900015.17.2 (i-di-in),saao/sargonletters:P334621.23.2 (i-di-iʾ-nu-u-ni),saao/sargonletters:P334279.43.1 (nu-ti-in),saao/sargonletters:P334279.38.1 (ta-da-in),saao/sargonletters:P334498.30.2 (u₂-da-ʾa-na)"
1092,danību[victualler]N,akk.r007c1,"saao/sargonletters:P313473.31.5 ({LU₂}GAL-da-ni-bat),saao/sargonletters:P314283.25.1 ({LU₂}GAL-da-ni-bat)"
1093,daprānu[juniper]N,akk.r007c2,"saao/sargonletters:P334676.11.2 ({ZID₂}du-pur-a-ni),saao/sargonletters:P334676.26.1 ({ZID₂}du-pur-a-ni)"
1094,darrû[sacrificial sheep]N,akk.r007c3,"saao/sargonletters:P334729.8.3 (da₃-ri-e),saao/sargonletters:P334864.16.6 ({UDU}da-ri-u₂)"
1095,dayyaltu[(hunting) foray]N,akk.r007c6,saao/sargonletters:P313491.19.3 (da-a-a-la-tu₂)
1096,dayyālu[scout]N,akk.r007c7,"saao/sargonletters:P313472.34.2 ({LU₂}GAL-da-a.a-li),saao/sargonletters:P313575.24.3 ({LU₂}GAL-da-a.a-li),saao/sargonletters:P334394.10.4 ({LU₂}GAL-da-a.a-li),saao/sargonletters:P334394.14.2 ({LU₂}GAL-da-a.a-li),saao/sargonletters:P334372.28.2 ({LU₂}GAL-da-a.a-li-ia),saao/sargonletters:P334725.13.3 ({LU₂}da-a.a-URU),saao/sargonletters:P314265.6.4 ({LU₂}da-a.a-li),saao/sargonletters:P334197.7.2 ({LU₂}da-a.a-li),saao/sargonletters:P334291.8.1 ({LU₂}da-a.a-li),saao/sargonletters:P334308.26.2 ({LU₂}da-a.a-li),saao/sargonletters:P334350.14.3 ({LU₂}da-a.a-li),saao/sargonletters:P334694.10.3 ({LU₂}da-a.a-li),saao/sargonletters:P334694.14.4 ({LU₂}da-a.a-li),saao/sargonletters:P334694.5.3 ({LU₂}da-a.a-li),saao/sargonletters:P334721.20.1 ({LU₂}da-a.a-li),saao/sargonletters:P334772.42.8 ({LU₂}da-a.a-li),saao/sargonletters:P336635.8.1 ({LU₂}da-a.a-li),saao/sargonletters:P313711.5.1 ({LU₂}da-a.a-li-ia),saao/sargonletters:P313711.9.1 ({LU₂}da-a.a-li-ia),saao/sargonletters:P334528.5.1 ({LU₂}da-a.a-li-ia),saao/sargonletters:P334528.9.1 ({LU₂}da-a.a-li-ia),saao/sargonletters:P334094.4.6 ({LU₂}da-a.a-li-ka),saao/sargonletters:P334369.18.1 ({LU₂}da-ia-a-li)"
1097,daʾāpu[push (away)]V,akk.r007d1,saao/sargonletters:P334774.13.1 (id-di-ʾi-ib)
1098,daʾāqu[(meaning unknown)]AJ,akk.r007d2,saao/sargonletters:P334076.38.3 (da-ii-qi)
1099,dekû[raise]V,akk.r007d3,"saao/sargonletters:P334561.19.1 (a-da-ak-ki),saao/sargonletters:P313897.5.2 (da-ak-ki-šu₂-nu),saao/sargonletters:P334847.7.5 (i-da-ak-ki),saao/sargonletters:P313814.9.6 (i-da-ak-ki-i),saao/sargonletters:P313553.21.6 (i-da-ki-u),saao/sargonletters:P334834.9.1 (i-dak-ki-a)"
1100,dekû[raised]AJ,akk.r007da,"saao/sargonletters:P314273.8.1 (da-ki),saao/sargonletters:P313625.18.4 (da-ki-u)"
1101,dibbu[words]N,akk.r007dd,"saao/sargonletters:P334357.8.3 (di-bi),saao/sargonletters:P313452.22.3 (di-bi-šu₂),saao/sargonletters:P334497.7.4 (di-bi-šu₂-ni),saao/sargonletters:P334357.15.3 (di-bi-šu₂-u-ni),saao/sargonletters:P313427.36.5 (di-ib-bi),saao/sargonletters:P313452.29.3 (di-ib-bi),saao/sargonletters:P313452.53.2 (di-ib-bi),saao/sargonletters:P313471.7.1 (di-ib-bi),saao/sargonletters:P313477.41.1 (di-ib-bi),saao/sargonletters:P313547.27.3 (di-ib-bi),saao/sargonletters:P313553.25.7 (di-ib-bi),saao/sargonletters:P313571.30.5 (di-ib-bi),saao/sargonletters:P313587.23.2 (di-ib-bi),saao/sargonletters:P313788.7.3 (di-ib-bi),saao/sargonletters:P313915.6.5 (di-ib-bi),saao/sargonletters:P334050.31.6 (di-ib-bi),saao/sargonletters:P334069.38.3 (di-ib-bi),saao/sargonletters:P334077.54.3 (di-ib-bi),saao/sargonletters:P334079.31.2 (di-ib-bi),saao/sargonletters:P334079.32.2 (di-ib-bi),saao/sargonletters:P334079.36.2 (di-ib-bi),saao/sargonletters:P334091.21.1 (di-ib-bi),saao/sargonletters:P334308.29.1 (di-ib-bi),saao/sargonletters:P334369.8.1 (di-ib-bi),saao/sargonletters:P334555.5.1 (di-ib-bi),saao/sargonletters:P334671.13.3 (di-ib-bi),saao/sargonletters:P334697.11.3 (di-ib-bi),saao/sargonletters:P334697.13.2 (di-ib-bi),saao/sargonletters:P334779.10.3 (di-ib-bi),saao/sargonletters:P334849.10.1 (di-ib-bi),saao/sargonletters:P334917.17.2 (di-ib-bi),saao/sargonletters:P334077.38.4 (di-ib-bi-ku-nu),saao/sargonletters:P313419.31.3 (di-ib-bi-šu₂-nu-ni),saao/sargonletters:P224485.15.4 (dib-bi),saao/sargonletters:P224485.65.2 (dib-bi),saao/sargonletters:P313471.18.2 (dib-bi),saao/sargonletters:P313471.21.1 (dib-bi),saao/sargonletters:P313501.11.1 (dib-bi),saao/sargonletters:P313547.32.1 (dib-bi),saao/sargonletters:P313692.8.1 (dib-bi),saao/sargonletters:P313778.4.5 (dib-bi),saao/sargonletters:P314296.21.4 (dib-bi),saao/sargonletters:P334104.28.1 (dib-bi),saao/sargonletters:P334152.13.1 (dib-bi),saao/sargonletters:P334163.23.2 (dib-bi),saao/sargonletters:P334421.12.1 (dib-bi),saao/sargonletters:P334421.9.3 (dib-bi),saao/sargonletters:P224485.59.6 (dib-bi-šu),saao/sargonletters:P313507.21.1 (dib-bi-šu₂),saao/sargonletters:P314244.8.3 (dib-bi-šu₂-nu)"
1102,dikûtu[levy]N,akk.r007ec,saao/sargonletters:P313624.8.2 (da-ku-ti)
1103,diqāru[large bowl]N,akk.r007ed,"saao/sargonletters:P314256.5.2 (UTUL₂),saao/sargonletters:P314040.5.4 (UTUL₂-MEŠ)"
1104,dišānu[(meaning unknown)]N,akk.r007f0,saao/sargonletters:P334307.7.2 ({LU₂}di-ša-nu)
1105,duhnu[millet]N,akk.r007f1,saao/sargonletters:P313756.16.5 ({ŠE}tuh-nu)
1106,dullu[trouble]N,akk.r007f2,"saao/sargonletters:P334711.7.3 (KIN),saao/sargonletters:P334586.11.4 (du-ul-lu),saao/sargonletters:P313992.16.7 (du-ul-lu-u-ni),saao/sargonletters:P334555.31.3 (dul-la-a-ni),saao/sargonletters:P334076.27.3 (dul-la-aš₂-šu₂-nu),saao/sargonletters:P224485.56.3 (dul-la-ka-ni),saao/sargonletters:P313551.23.1 (dul-la-ku-nu),saao/sargonletters:P313864.9.2 (dul-la-ku-nu),saao/sargonletters:P313889.6.4 (dul-la-ku-nu),saao/sargonletters:P314026.4.2 (dul-la-ku-nu),saao/sargonletters:P314232.6.1 (dul-la-ku-nu),saao/sargonletters:P334152.23.1 (dul-la-ku-nu),saao/sargonletters:P334773.23.1 (dul-la-ku-nu),saao/sargonletters:P334555.8.5 (dul-la-ni),saao/sargonletters:P334693.17.3 (dul-la-te-šu₂),saao/sargonletters:P334586.19.5 (dul-la-ti),saao/sargonletters:P313504.50.3 (dul-la-šu-nu),saao/sargonletters:P313601.9.1 (dul-la-šu-nu),saao/sargonletters:P313700.22.2 (dul-la-šu-nu),saao/sargonletters:P313523.19.2 (dul-la-šu₂-nu),saao/sargonletters:P313654.9.3 (dul-la-šu₂-nu),saao/sargonletters:P314296.23.1 (dul-la-šu₂-nu),saao/sargonletters:P334040.9.1 (dul-la-šu₂-nu),saao/sargonletters:P334143.10.1 (dul-la-šu₂-nu),saao/sargonletters:P334152.27.1 (dul-la-šu₂-nu),saao/sargonletters:P334203.22.3 (dul-la-šu₂-nu),saao/sargonletters:P334773.17.2 (dul-la-šu₂-nu),saao/sargonletters:P334773.37.1 (dul-la-šu₂-nu),saao/sargonletters:P334789.12.4 (dul-la-šu₂-nu),saao/sargonletters:P313481.6.1 (dul-li),saao/sargonletters:P313540.14.3 (dul-li),saao/sargonletters:P313603.9.3 (dul-li),saao/sargonletters:P313757.7.3 (dul-li),saao/sargonletters:P314134.8.3 (dul-li),saao/sargonletters:P334036.9.2 (dul-li),saao/sargonletters:P334113.31.2 (dul-li),saao/sargonletters:P334139.34.4 (dul-li),saao/sargonletters:P334280.25.3 (dul-li),saao/sargonletters:P334291.17.4 (dul-li),saao/sargonletters:P334314.20.3 (dul-li),saao/sargonletters:P334322.26.2 (dul-li),saao/sargonletters:P334359.21.1 (dul-li),saao/sargonletters:P334359.25.1 (dul-li),saao/sargonletters:P334359.6.1 (dul-li),saao/sargonletters:P334388.4.5 (dul-li),saao/sargonletters:P334534.25.1 (dul-li),saao/sargonletters:P334610.10.3 (dul-li),saao/sargonletters:P334773.35.2 (dul-li),saao/sargonletters:P334903.23.5 (dul-li),saao/sargonletters:P313684.17.3 (dul-li-ia),saao/sargonletters:P334076.8.1 (dul-li-in-ni),saao/sargonletters:P334673.7.3 (dul-li-in-ni),saao/sargonletters:P334689.15.6 (dul-li-in-ni),saao/sargonletters:P313654.5.3 (dul-li-ni),saao/sargonletters:P224485.58.1 (dul-lu),saao/sargonletters:P313425.46.1 (dul-lu),saao/sargonletters:P313451.27.1 (dul-lu),saao/sargonletters:P313452.17.5 (dul-lu),saao/sargonletters:P313453.34.3 (dul-lu),saao/sargonletters:P313458.18.1 (dul-lu),saao/sargonletters:P313476.41.1 (dul-lu),saao/sargonletters:P313500.22.1 (dul-lu),saao/sargonletters:P313504.53.2 (dul-lu),saao/sargonletters:P313504.57.7 (dul-lu),saao/sargonletters:P313601.7.3 (dul-lu),saao/sargonletters:P313616.15.1 (dul-lu),saao/sargonletters:P313616.21.1 (dul-lu),saao/sargonletters:P313637.11.5 (dul-lu),saao/sargonletters:P313637.14.6 (dul-lu),saao/sargonletters:P313667.4.1 (dul-lu),saao/sargonletters:P313679.5.1 (dul-lu),saao/sargonletters:P313757.6.1 (dul-lu),saao/sargonletters:P313788.15.1 (dul-lu),saao/sargonletters:P313821.6.5 (dul-lu),saao/sargonletters:P313844.6.1 (dul-lu),saao/sargonletters:P313878.8.3 (dul-lu),saao/sargonletters:P313892.9.5 (dul-lu),saao/sargonletters:P313923.19.5 (dul-lu),saao/sargonletters:P313924.6.2 (dul-lu),saao/sargonletters:P313924.7.2 (dul-lu),saao/sargonletters:P314243.4.1 (dul-lu),saao/sargonletters:P314243.7.3 (dul-lu),saao/sargonletters:P314323.5.8 (dul-lu),saao/sargonletters:P334048.36.4 (dul-lu),saao/sargonletters:P334048.40.1 (dul-lu),saao/sargonletters:P334083.8.1 (dul-lu),saao/sargonletters:P334084.46.1 (dul-lu),saao/sargonletters:P334094.12.2 (dul-lu),saao/sargonletters:P334104.39.3 (dul-lu),saao/sargonletters:P334143.9.1 (dul-lu),saao/sargonletters:P334163.12.2 (dul-lu),saao/sargonletters:P334163.14.2 (dul-lu),saao/sargonletters:P334163.21.1 (dul-lu),saao/sargonletters:P334163.29.2 (dul-lu),saao/sargonletters:P334182.8.1 (dul-lu),saao/sargonletters:P334199.33.3 (dul-lu),saao/sargonletters:P334280.12.3 (dul-lu),saao/sargonletters:P334280.21.1 (dul-lu),saao/sargonletters:P334330.12.2 (dul-lu),saao/sargonletters:P334359.15.1 (dul-lu),saao/sargonletters:P334367.26.1 (dul-lu),saao/sargonletters:P334367.30.1 (dul-lu),saao/sargonletters:P334388.6.2 (dul-lu),saao/sargonletters:P334394.27.2 (dul-lu),saao/sargonletters:P334400.19.1 (dul-lu),saao/sargonletters:P334498.22.3 (dul-lu),saao/sargonletters:P334499.25.3 (dul-lu),saao/sargonletters:P334586.8.7 (dul-lu),saao/sargonletters:P334610.14.1 (dul-lu),saao/sargonletters:P334610.6.1 (dul-lu),saao/sargonletters:P334644.3.3 (dul-lu),saao/sargonletters:P334710.18.1 (dul-lu),saao/sargonletters:P334710.25.3 (dul-lu),saao/sargonletters:P334711.11.3 (dul-lu),saao/sargonletters:P334713.21.1 (dul-lu),saao/sargonletters:P334773.13.5 (dul-lu),saao/sargonletters:P334776.36.2 (dul-lu),saao/sargonletters:P334903.32.4 (dul-lu),saao/sargonletters:P334909.15.1 (dul-lu),saao/sargonletters:P334910.6.3 (dul-lu),saao/sargonletters:P336169.22.5 (dul-lu),saao/sargonletters:X900012.44.3 (dul-lu),saao/sargonletters:X900014.22.2 (dul-lu),saao/sargonletters:X900014.23.1 (dul-lu),saao/sargonletters:P314243.19.1 (dul-lu-um-ma),saao/sargonletters:P313616.22.1 (dul-lu-ša₂),saao/sargonletters:P334071.18.1 (dul-lu-šu),saao/sargonletters:P313427.26.1 (dul-lum),saao/sargonletters:P313427.29.4 (dul-lum),saao/sargonletters:P313487.13.1 (dul-lum),saao/sargonletters:P313487.36.3 (dul-lum),saao/sargonletters:P313487.9.1 (dul-lum),saao/sargonletters:P314275.21.4 (dul-lum),saao/sargonletters:P334322.45.1 (dul-lum),saao/sargonletters:P334903.19.1 (dul-lum),saao/sargonletters:P334903.31.1 (dul-lum),saao/sargonletters:P334903.32.1 (dul-lum),saao/sargonletters:P334903.37.1 (dul-lum),saao/sargonletters:P313452.16.1 (dul₆-la-šu₂-nu),saao/sargonletters:P313476.31.1 (dul₆-li),saao/sargonletters:P334146.18.2 (dul₆-li),saao/sargonletters:P334187.30.5 (dul₆-li),saao/sargonletters:P334316.6.4 (dul₆-li),saao/sargonletters:P313453.8.3 (dul₆-li-ia),saao/sargonletters:P334073.11.2 (dul₆-li-ia),saao/sargonletters:P334074.15.1 (dul₆-li-in-ni),saao/sargonletters:P237089.6.6 (dul₆-lu),saao/sargonletters:P313445.24.5 (dul₆-lu),saao/sargonletters:P313448.10.5 (dul₆-lu),saao/sargonletters:P313448.13.2 (dul₆-lu),saao/sargonletters:P313448.16.1 (dul₆-lu),saao/sargonletters:P313448.21.3 (dul₆-lu),saao/sargonletters:P313448.26.3 (dul₆-lu),saao/sargonletters:P313452.33.2 (dul₆-lu),saao/sargonletters:P313476.12.1 (dul₆-lu),saao/sargonletters:P313510.36.8 (dul₆-lu),saao/sargonletters:P313510.61.8 (dul₆-lu),saao/sargonletters:P313553.6.1 (dul₆-lu),saao/sargonletters:P313720.7.3 (dul₆-lu),saao/sargonletters:P313880.12.1 (dul₆-lu),saao/sargonletters:P313880.27.1 (dul₆-lu),saao/sargonletters:P314029.6.1 (dul₆-lu),saao/sargonletters:P314043.5.6 (dul₆-lu),saao/sargonletters:P314063.10.1 (dul₆-lu),saao/sargonletters:P314063.11.1 (dul₆-lu),saao/sargonletters:P314063.4.1 (dul₆-lu),saao/sargonletters:P314063.5.1 (dul₆-lu),saao/sargonletters:P314241.17.3 (dul₆-lu),saao/sargonletters:P314241.18.3 (dul₆-lu),saao/sargonletters:P334104.48.4 (dul₆-lu),saao/sargonletters:P334186.8.1 (dul₆-lu),saao/sargonletters:P334291.18.3 (dul₆-lu),saao/sargonletters:P334316.17.1 (dul₆-lu),saao/sargonletters:P334698.21.2 (dul₆-lu),saao/sargonletters:P334778.9.3 (dul₆-lu),saao/sargonletters:P334865.26.2 (dul₆-lu),saao/sargonletters:P334896.9.3 (dul₆-lu),saao/sargonletters:P334314.24.1 (du₆-la-ka),saao/sargonletters:P334586.18.3 (du₆-la-ti),saao/sargonletters:P334397.8.1 (du₆-li),saao/sargonletters:P334432.10.2 (du₆-li),saao/sargonletters:P334718.32.3 (du₆-li),saao/sargonletters:P334718.40.3 (du₆-li),saao/sargonletters:P313947.9.1 (du₆-li-ni),saao/sargonletters:P334298.25.1 (du₆-li-ni),saao/sargonletters:P334718.38.5 (du₆-li-šu₂-ma),saao/sargonletters:P334051.27.1 (du₆-lu),saao/sargonletters:P334051.28.3 (du₆-lu),saao/sargonletters:P334055.11.8 (du₆-lu),saao/sargonletters:P334055.19.3 (du₆-lu),saao/sargonletters:P334055.5.3 (du₆-lu),saao/sargonletters:P334298.16.2 (du₆-lu),saao/sargonletters:P334397.20.1 (du₆-lu),saao/sargonletters:P334432.16.1 (du₆-lu),saao/sargonletters:P334587.17.3 (du₆-lu),saao/sargonletters:P334051.23.1 (du₆-lu-ma),saao/sargonletters:P334118.13.1 (du₆-lu-šu₂),saao/sargonletters:P314026.25.1 ({LU₂}e-piš-dul-li)"
1107,dumqu[goodness]N,akk.r0082e,saao/sargonletters:P334830.38.5 (du-un-qi-ia-ma)
1108,dumāqū[jewellery]N,akk.r0082f,"saao/sargonletters:P313472.43.5 (du-ma-qi),saao/sargonletters:P313610.3.1 (du-ma-qi)"
1109,duqdu[almond (tree)]N,akk.r00830,saao/sargonletters:P334567.20.3 ({GIŠ}duq-di)
1110,dâku[kill]V,akk.r00831,"saao/sargonletters:P313898.22.1 (GAZ-šu₂),saao/sargonletters:P334858.28.1 (ad-du-ka-šu-nu),saao/sargonletters:P313513.6.7 (du-a-ki),saao/sargonletters:P336167.7.5 (du-a-ki),saao/sargonletters:P334318.27.6 (du-a-ki-ia),saao/sargonletters:P313452.60.1 (i-du-ak-ši),saao/sargonletters:P334825.25.5 (i-du-ak-šu₂-nu),saao/sargonletters:P334186.6.5 (i-du-ka),saao/sargonletters:P334318.25.1 (i-du-ka),saao/sargonletters:X900011.21.1 (i-du-ka),saao/sargonletters:X900008.23.1 (i-du-ka-a-ni),saao/sargonletters:P334143.52.1 (i-du-ka-an-ni),saao/sargonletters:P334173.13.6 (i-du-ka-an-ni),saao/sargonletters:P313627.14.1 (i-du-kan-ni),saao/sargonletters:P313514.8.1 (i-du-ku),saao/sargonletters:P313620.5.6 (i-du-ku),saao/sargonletters:P314033.5.1 (i-du-ku),saao/sargonletters:P314205.9.5 (i-du-ku),saao/sargonletters:P334186.35.2 (i-du-ku),saao/sargonletters:P334805.21.2 (i-du-ku),saao/sargonletters:P314283.11.2 (i-du-ku-ni),saao/sargonletters:P334673.28.2 (i-du-ku-u-ni),saao/sargonletters:P313779.7.1 (i-du-ku-šu),saao/sargonletters:P313529.13.2 (i-du-ku-šu-nu),saao/sargonletters:P313498.20.2 (i-du-ku-šu₂-nu),saao/sargonletters:P313498.26.2 (i-du-ku-šu₂-nu),saao/sargonletters:P334446.16.1 (i-du-u-ku),saao/sargonletters:P334673.21.2 (i-du-u-ku),saao/sargonletters:P314205.8.3 (i-du-uk-ku),saao/sargonletters:P313487.14.3 (i-duk-kan-ni),saao/sargonletters:P334820.32.1 (id-du-ak-šu₂),saao/sargonletters:P334820.19.1 (id-du-ka),saao/sargonletters:P334820.13.1 (id-du-ku),saao/sargonletters:P334115.16.5 (id-du-ku-šu₂-nu),saao/sargonletters:P313821.5.5 (la-du-uk-ka),saao/sargonletters:P313491.29.6 (li-du-ku-šu₂),saao/sargonletters:P334483.27.4 (ni-du-ka),saao/sargonletters:P334621.24.1 (ni-du-ka),saao/sargonletters:P334621.26.2 (ni-du-ka),saao/sargonletters:P314251.6.6 (ni-id-du-ka-šu₂),saao/sargonletters:P334621.7.2 (ta-du-ka-ni),saao/sargonletters:P313452.58.1 (ta-du-ku-ni),saao/sargonletters:P313452.56.1 (ta-du-uk)"
1111,dâlu[move]V,akk.r0085e,"saao/sargonletters:P334344.16.2 (a-du-al),saao/sargonletters:P334859.5.1 (a-du-al),saao/sargonletters:P334258.7.2 (a-du-al-la),saao/sargonletters:P224485.55.4 (du-u₂-lu),saao/sargonletters:P313575.15.9 (i-du-al),saao/sargonletters:P314242.8.1 (i-du-al),saao/sargonletters:X900011.28.5 (i-du-la),saao/sargonletters:P313492.55.1 (i-du-lu),saao/sargonletters:P314018.14.4 (i-du-lu),saao/sargonletters:P334070.8.2 (i-du-lu),saao/sargonletters:P334119.24.1 (i-du-lu),saao/sargonletters:P334120.17.3 (i-du-lu),saao/sargonletters:P334858.27.1 (i-du-lu),saao/sargonletters:P334119.32.2 (i-du-lu-u-ni),saao/sargonletters:P314238.17.1 (i-du-u-lu),saao/sargonletters:P313541.13.3 (li-du-lu)"
1112,dāgilu[one who sees]N,akk.r0086c,"saao/sargonletters:P334281.13.4 ({LU₂}da-gil₂-MUŠEN-MEŠ),saao/sargonletters:P334281.7.3 ({LU₂}da-gil₂-MUŠEN-MEŠ)"
1113,dāmu[blood]N,akk.r0086d,"saao/sargonletters:P313550.4.1 (MUD₂-MEŠ),saao/sargonletters:P334316.14.3 (da-me-e-a),saao/sargonletters:X900012.26.9 (da-mu),saao/sargonletters:P334673.27.3 ({LU₂}EN-MUD₂-MEŠ)"
